record_id,parent_department,organisation,unit,reporting_senior_post,grade,payscale_minimum,payscale_maximum,generic_job_title,fte_posts,professional/occupational_group,office_region
1302,Department for Education,Department for Education,Developing Teachers and Leaders,DFE-2670,Grade 7 - National,58185,67219,Manager - Developing Teachers and Leaders Grade 7-East Midlands,0.9,Other,East Midlands
1303,Department for Education,Department for Education,Student Funding Policy​,DFE-2516,Grade 7 - National,58185,67219,Manager - Student Funding Policy​ Grade 7-North West,1.52,Other,North West
1304,Department for Education,Department for Education,Operations and Infrastructure Group,DFE-2536,HEO - National,36000,38229,Higher Executive Officer - Commercial Specialist - Families HEO-North West,1.0,Other,North West
1305,Department for Education,Department for Education,CSC Serious Incidents and National Safeguarding Panel,DFE-2299,Grade 7 - National,58185,67219,Manager - CSC Serious Incidents and National Safeguarding Panel Grade 7-South West,1.0,Other,South West
1306,Department for Education,Department for Education,Schools Productivity Unit,DFE-2651,Grade 7 - National,58185,67219,Manager - Schools Productivity Unit Grade 7-North West,2.0,Other,North West
1307,Department for Education,Department for Education,"Financial Business Partnering: Skills, OIG and Strategy",DFE-2652,Senior Executive Officer - National,42806,47047,Senior Executive Officer - ESFA Finance SEO-Yorkshire and The Humber,2.0,Other,Yorkshire and The Humber
1308,Department for Education,Department for Education,Counter Fraud  and Prevention,DFE-2290,HEO - National,36000,38229,Higher Executive Officer - Counter Fraud and Prevention HEO-North East,2.63,Other,North East
1309,Department for Education,Department for Education,Higher Education Strategy and Portfolio,DFE-2239,Grade 6 - National,70854,78241,Manager - Higher Education Strategy and Portfolio Grade 6-South West,0.86,Other,South West
1310,Department for Education,Department for Education,Technology Operations,DFE-2461,HEO - National,36000,38229,Higher Executive Officer - Technology Operations SEO-North East,1.0,Other,North East
1311,Department for Education,Department for Education,"Payroll, Reward, Policies and ER",DFE-2527,HEO - National,36000,38229,Higher Executive Officer - HR Services & Specialist Advice HEO-Yorkshire and The Humber,6.37,Other,Yorkshire and The Humber
1312,Department for Education,Department for Education,"English, Maths, Music & Arts",DFE-2418,HEO - National,36000,38229,"Higher Executive Officer - English, Maths, Music & Arts HEO-Yorkshire and The Humber",4.0,Other,Yorkshire and The Humber
1313,Department for Education,Department for Education,CSC Strategy and System,DFE-2401,Grade 7 - National,58185,67219,Manager - CSC Strategy and System Grade 7-East Midlands,2.0,Other,East Midlands
1314,Department for Education,Department for Education,Customer Experience & Design,DFE-2478,Grade 6 - National,70854,78241,Manager - Customer Experience & Design Grade 6-North West,3.97,Other,North West
1315,Department for Education,Department for Education,"Financial Business Partnering: Schools, Families, Regions and Hub",DFE-2151,Senior Executive Officer - London,46971,51973,"Senior Executive Officer - Financial Business Partnering: Schools, Families, Regions and Hub SEO-London",1.0,Other,London
1316,Department for Education,Department for Education,"Admissions, School Organisation, Transport",DFE-2346,Senior Executive Officer - National,42806,47047,"Senior Executive Officer - Admissions, School Organisation, Transport SEO-North East",1.55,Other,North East
1317,Department for Education,Department for Education,"CSC Outcomes, Care Leavers and Capital",DFE-2347,Grade 6 - London,74528,82869,"Manager - CSC Outcomes, Care Leavers and Capital Grade 6-London",1.0,Other,London
1318,Department for Education,Department for Education,Families Analysis,DFE-2152,Grade 6 - London,74528,82869,Manager - Families Analysis Grade 6-London,2.0,Other,London
1319,Department for Education,Department for Education,Regions Group: East of England,DFE-2672,HEO - National,36000,38229,Higher Executive Officer - Regions Group: East of England HEO-North East,1.0,Other,North East
1320,Department for Education,Department for Education,Curriculum & Assessment Review,DFE-2641,Grade 6 - National,70854,78241,Manager - Curriculum & Assessment Review Grade 6-Yorkshire and The Humber,1.7,Other,Yorkshire and The Humber
1321,Department for Education,Department for Education,Teacher Training and Recruitment,DFE-2541,Grade 6 - National,70854,78241,Manager - Teacher Training and Recruitment Grade 6 (Close:06/10/2025)-North East,1.0,Other,North East
1322,Department for Education,Department for Education,Supporting and Rewarding Teachers and Leaders,DFE-2637,Grade 7 - National,58185,67219,Manager - Supporting and Rewarding Teachers and Leaders Grade 7-Yorkshire and The Humber,1.67,Other,Yorkshire and The Humber
1323,Department for Education,Department for Education,"Behaviour, Exclusions and School Food",DFE-2662,Grade 6 - London,74528,82869,"Manager - Behaviour, Exclusions and School Food Grade 6-London",3.0,Other,London
1324,Department for Education,Department for Education,Teaching Workforce Teaching Analysis,DFE-2183,SEO (Statistical Officer) - National,48999,53884,Senior Executive Officer - Teaching Workforce Teaching Analysis SEO-Yorkshire and The Humber,6.2,Other,Yorkshire and The Humber
1325,Department for Education,Department for Education,Enterprise Data for Access and Sharing,DFE-2658,HEO (Higher Statistical Officer) - National,40044,42778,Higher Executive Officer - Enterprise Data for Access and Sharing HEO-North East,5.0,Other,North East
1326,Department for Education,Department for Education,"Estates, Security and People",DFE-2025,Grade 7 - National,58185,67219,"Manager - Estates, Security and People Grade 7-Yorkshire and The Humber",1.83,Other,Yorkshire and The Humber
1327,Department for Education,Department for Education,"CSC Adoption, Family Justice and Alternatives to Care",DFE-2638,EO - National,31479,31479,"Executive Officer - CSC Adoption, Family Justice and Alternatives to Care EO-North East",3.0,Other,North East
1328,Department for Education,Department for Education,Specialist Restructuring,DFE-2173,Grade 6 - National,70854,78241,Manager - Specialist Restructuring Grade 6-North East,1.0,Other,North East
1329,Department for Education,Department for Education,Financial Reporting,DFE-2454,HEO - National,36000,38229,Higher Executive Officer - Financial Reporting HEO-North East,2.0,Other,North East
1330,Department for Education,Department for Education,CSC Serious Incidents and National Safeguarding Panel,DFE-2299,EO - London,35438,35438,Executive Officer - CSC Serious Incidents and National Safeguarding Panel EO-London,0.94,Other,London
1331,Department for Education,Department for Education,Local Accountability and Improvement,DFE-2383,HEO - London,40132,42699,Higher Executive Officer - Local Accountability and Improvement HEO-London,3.0,Other,London
1332,Department for Education,Department for Education,Stakeholder Engagement,DFE-2349,Grade 6 - London,74528,82869,Manager - Stakeholder Engagement Grade 6-London,2.9,Other,London
1333,Department for Education,Department for Education,Life Skills,DFE-2456,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Life Skills SEO-North East,1.0,Other,North East
1334,Department for Education,Department for Education,Higher Education Funding Integrity,DFE-2605,Grade 7 - National,58185,67219,Manager - Student Funding Policy​ Grade 7 (Position Vacate:31/10/2025)-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
1335,Department for Education,Department for Education,Strategy and Portfolio,DFE-2277,Grade 6 - London,74528,82869,Manager - Strategy and Portfolio Grade 6 (Position Vacate:20/10/2025)-London,1.0,Other,London
1336,Department for Education,Department for Education,CSC Data and Digital,DFE-2010,Senior Executive Officer - National,42806,47047,Senior Executive Officer - CSC Data and Digital SEO-Yorkshire and The Humber,2.86,Other,Yorkshire and The Humber
1337,Department for Education,Department for Education,Regions Group: National,DFE-2021,EA - London,30551,30551,Executive Assistant - Regions Group: National EA-London,1.0,Other,London
1338,Department for Education,Department for Education,Financial Operations,DFE-2200,HEO - London,40132,42699,Higher Executive Officer - Financial Operations HEO-London,1.0,Other,London
1339,Department for Education,Department for Education,"CSC Adoption, Family Justice and Alternatives to Care",DFE-2638,Grade 6 - London,74528,82869,"Manager - CSC Adoption, Family Justice and Alternatives to Care Grade 6 (Position Vacate:10/10/2025)-London",1.0,Other,London
1340,Department for Education,Department for Education,Families Group Central,DFE-2551,HEO - London,40132,42699,Higher Executive Officer - Families Group Central HEO-London,6.0,Other,London
1341,Department for Education,Department for Education,CSC Strategy and Care System,DFE-2671,EO - London,35438,35438,Executive Officer - CSC Portfolio and Funding EO-London,1.0,Other,London
1342,Department for Education,Department for Education,CSC Strategy and Care System,DFE-2671,Grade 6 - London,74528,82869,Manager - CSC Portfolio and Funding Grade 6-London,1.0,Other,London
1343,Department for Education,Department for Education,"Financial Business Partnering: Skills, OIG and Strategy",DFE-2652,Grade 7 - London,62336,72057,Manager - ESFA Finance Grade 7-London,1.0,Other,London
1344,Department for Education,Department for Education,Independent Education and School Safeguarding,DFE-2004,EA - National,27244,27244,Executive Assistant - Independent Education and School Safeguarding EA-North East,3.92,Other,North East
1345,Department for Education,Department for Education,Education Estates Strategy and Policy Unit,DFE-2072,Grade 6 - National,70854,78241,Manager - Education Estates Strategy and Policy Unit Grade 6-West Midlands,0.81,Other,West Midlands
1346,Department for Education,Department for Education,Life Skills,DFE-2456,Senior Executive Officer - London,46971,51973,Senior Executive Officer - Life Skills SEO-London,5.89,Other,London
1347,Department for Education,Department for Education,Ministerial and Public Communications Division,DFE-2249,Grade 6 - London,74528,82869,Manager - Ministerial and Public Communications Division Grade 6-London,2.0,Other,London
1348,Department for Education,Department for Education,Operational Excellence,DFE-2292,Grade 7 - London,62336,72057,Manager - Operational Excellence Grade 7-London,4.0,Other,London
1349,Department for Education,Department for Education,Central Analysis Unit,DFE-2238,Grade 7 - National,58185,67219,Manager - Central Analysis Unit Grade 7-North East,1.0,Other,North East
1350,Department for Education,Department for Education,Enterprise Data for Insight,DFE-2392,Grade 6 - National,70854,78241,Manager - Enterprise Data for Insight Grade 6-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
1351,Department for Education,Department for Education,CS Policy Profession Unit,DFE-2498,Grade 6 - National,70854,78241,Manager - CS Policy Profession Unit Grade 6-Yorkshire and The Humber,2.0,Other,Yorkshire and The Humber
1352,Department for Education,Department for Education,Teaching Workforce Teaching Analysis,DFE-2183,Grade 6 - National,70854,78241,Manager - Teaching Workforce Teaching Analysis Grade 6-Yorkshire and The Humber,3.0,Other,Yorkshire and The Humber
1353,Department for Education,Department for Education,Central Strategic Finance,DFE-2604,Grade 6 - National,70854,78241,Manager - Central Strategic Finance Grade 6-North West,2.0,Other,North West
1354,Department for Education,Department for Education,Sustainability and Strategic Projects,DFE-2311,HEO - London,40132,42699,Higher Executive Officer - Disadvantage and Strategic Policy SEO-London,1.0,Other,London
1355,Department for Education,Department for Education,Operations and Infrastructure Group,DFE-2536,Grade 7 - National,58185,67219,Manager - Schools Commercial Strategy Grade 7-Unknown,1.0,Other,Unknown
1356,Department for Education,Department for Education,CSC Strategy and System,DFE-2401,Senior Executive Officer - National,42806,47047,Senior Executive Officer - CSC Strategy and System SEO-Yorkshire and The Humber,0.81,Other,Yorkshire and The Humber
1357,Department for Education,Department for Education,Central Analysis Unit,DFE-2238,SEO (Senior Research Officer) - London,52799,58810,Senior Executive Officer - Central Research and Evaluation & Chief Social Researcher SEO-London,2.75,Other,London
1358,Department for Education,Department for Education,CSC Strategy and System,DFE-2401,Grade 6 - National,70854,78241,Manager - CSC Strategy and System Grade 6-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
1359,Department for Education,Department for Education,SEND Strategy,DFE-2571,Grade 6 - London,74528,82869,Manager - SEND Strategy Grade 6-London,4.0,Other,London
1360,Department for Education,Department for Education,Skills Policy Analysis​,DFE-2520,Grade 7 - National,58185,67219,Manager - Skills Policy Analysis​ Grade 7-North East,0.75,Other,North East
1361,Department for Education,Department for Education,Revenue Funding and Demographic Analysis,DFE-2645,Grade 7 - National,58185,67219,Manager - Revenue Funding and Demography Analysis Grade 7-Yorkshire and The Humber,2.9,Other,Yorkshire and The Humber
1362,Department for Education,Department for Education,Schools Productivity Unit,DFE-2651,Grade 7 - London,62336,72057,Manager - Schools Productivity Unit Grade 7-London,2.0,Other,London
1363,Department for Education,Skills England,Skills England - Deputy CEO,DFE-2682,Grade 7 - London,62336,72057,"Manager - Advanced Manufacturing, Defence and Construction Grade 7-London",6.0,Other,London
1364,Department for Education,Department for Education,SFSO Operational Delivery - South,DFE-2085,HEO - National,36000,38229,Higher Executive Officer - SFSO Operational Delivery - South HEO-North East,0.52,Other,North East
1365,Department for Education,Department for Education,Open Innovation,DFE-2559,Grade 7 - National,58185,67219,Manager - Open Innovation Grade 6-North East,0.89,Other,North East
1366,Department for Education,Department for Education,High Quality Curriculum,DFE-2324,Grade 6 - London,74528,82869,Manager - High Quality Curriculum Grade 6-London,2.0,Other,London
1367,Department for Education,Department for Education,Insight and Statistics,DFE-2400,SEO (Statistical Officer) - London,52799,58810,Senior Executive Officer - Insight and Statistics SEO-London,6.07,Other,London
1368,Department for Education,Department for Education,Inclusive Mainstream,DFE-2647,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Inclusive Mainstream SEO (Position Vacate:20/10/2025)-North West,1.0,Other,North West
1369,Department for Education,Department for Education,Technology Directorate,DFE-2553,HEO - National,36000,38229,Higher Executive Officer - DDT Central Operations HEO-North East,1.83,Other,North East
1370,Department for Education,Department for Education,Developing Teachers and Leaders,DFE-2670,Grade 6 - National,70854,78241,Manager - Developing Teachers and Leaders Grade 6-North West,3.05,Other,North West
1371,Department for Education,Department for Education,Curriculum & Assessment Review,DFE-2641,Grade 7 - National,58185,67219,Manager - Curriculum & Assessment Review Grade 7-North West,1.0,Other,North West
1372,Department for Education,Department for Education,International Placements,DFE-2491,Grade 7 - London,62336,72057,Manager - Strategy Group - DG Office Grade 7-London,1.0,Other,London
1373,Department for Education,Department for Education,Regions Group: West Midlands,DFE-2406,Grade 7 - London,62336,72057,Manager - Regions Group: West Midlands Grade 7-London,1.6,Other,London
1374,Department for Education,Department for Education,Central Analysis Unit,DFE-2238,HEO - National,36000,38229,Higher Executive Officer - Central Analysis Unit SEO-Unknown,1.0,Other,Unknown
1375,Department for Education,Department for Education,Families Analysis,DFE-2152,HEO (Higher Statistical Officer) - London,44424,47250,Higher Executive Officer - Families Analysis HEO-London,6.3,Other,London
1376,Department for Education,Department for Education,Careers,DFE-2653,Grade 6 - National,70854,78241,Manager - Careers Grade 6-Yorkshire and The Humber,0.6,Other,Yorkshire and The Humber
1377,Department for Education,Department for Education,Education Estates Strategy and Policy Unit,DFE-2072,Grade 7 - National,58185,67219,"Manager - Construction Delivery North East, Yorkshire Humber and East Midlands Grade 7-Yorkshire and The Humber",1.0,Other,Yorkshire and The Humber
1378,Department for Education,Department for Education,"Access, Participation and Applications",DFE-2231,Grade 6 - London,74528,82869,"Manager - Access, Participation and Applications Grade 6-London",2.0,Other,London
1379,Department for Education,Department for Education,Sector Skills,DFE-2620,Grade 7 - London,62336,72057,Manager - Sector Skills Grade 7-London,1.0,Other,London
1380,Department for Education,Department for Education,Strategy and Portfolio,DFE-2277,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Strategy and Portfolio SEO-Yorkshire and The Humber,2.8,Other,Yorkshire and The Humber
1381,Department for Education,Department for Education,Life Skills,DFE-2456,HEO - National,36000,38229,Higher Executive Officer - Life Skills HEO-East Midlands,0.72,Other,East Midlands
1382,Department for Education,Department for Education,Sector Reporting,DFE-2185,HEO - National,36000,38229,Higher Executive Officer - Sector Reporting HEO-North East,1.0,Other,North East
1383,Department for Education,Department for Education,Revenue Funding and Demographic Analysis,DFE-2645,EO - National,31479,31479,Executive Officer - Revenue Funding and Demography Analysis EO-North East,1.0,Other,North East
1384,Department for Education,Department for Education,Independent Education and School Safeguarding,DFE-2004,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Independent Education and School Safeguarding SEO-North East,5.0,Other,North East
1385,Department for Education,Department for Education,Education Estates Portfolio Oversight and Directorate Support,DFE-2648,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Education Estates Portfolio Oversight and Directorate Support SEO-North East,3.0,Other,North East
1386,Department for Education,Department for Education,Ministerial and Public Communications Division,DFE-2249,HEO - National,36000,38229,Higher Executive Officer - Ministerial and Public Communications Division HEO-North East,4.0,Other,North East
1387,Department for Education,Department for Education,"HR Organisation Design, Development & Engagement",DFE-2407,EO - National,31479,31479,"Executive Officer - HR Organisation Design, Development & Engagement EO-North East",1.0,Other,North East
1388,Department for Education,Department for Education,"Early Years Quality, Recovery and Welfare",DFE-2240,Senior Executive Officer - National,42806,47047,"Senior Executive Officer - Early Years Quality, Recovery and Welfare SEO-North East",1.81,Other,North East
1389,Department for Education,Department for Education,CSC Data and Digital,DFE-2010,HEO - National,36000,38229,Higher Executive Officer - CSC Data and Digital HEO-North East,2.0,Other,North East
1390,Department for Education,Department for Education,"HR Business Partners, Workforce Skills and Strategy",DFE-2681,EO - National,31479,31479,"Executive Officer - HR Business Partners, Workforce Skills and Strategy EO-Unknown",0.48,Other,Unknown
1391,Department for Education,Department for Education,Enterprise Data for Access and Sharing,DFE-2658,Grade 7 - London,62336,72057,Manager - Enterprise Data for Access and Sharing 7-London,0.83,Other,London
1392,Department for Education,Department for Education,Schools System Accountability,DFE-2224,HEO - National,36000,38229,Higher Executive Officer - Schools System Accountability HEO-North East,2.0,Other,North East
1393,Department for Education,Department for Education,Ministerial and Public Communications Division,DFE-2249,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Ministerial and Public Communications Division SEO-North East,1.77,Other,North East
1394,Department for Education,Department for Education,Funding Policy Unit,DFE-2009,Grade 6 - London,74528,82869,Manager - Funding Policy Unit Grade 6-London,1.8,Other,London
1395,Department for Education,Department for Education,Financial Operations,DFE-2200,EO - London,35438,35438,Executive Officer - Financial Operations EO-Unknown,0.8,Other,Unknown
1396,Department for Education,Department for Education,CSC Looked After Children Placements,DFE-2582,Senior Executive Officer - National,42806,47047,Senior Executive Officer - CSC Looked After Children Placements SEO-West Midlands,2.0,Other,West Midlands
1397,Department for Education,Department for Education,CS Policy Profession Unit,DFE-2498,Senior Executive Officer - London,46971,51973,Senior Executive Officer - CS Policy Profession Unit SEO-London,5.0,Other,London
1398,Department for Education,Department for Education,Enterprise Data for Access and Sharing,DFE-2658,EO - London,35438,35438,Executive Officer - Enterprise Data for Access and Sharing HEO-London,1.0,Other,London
1399,Department for Education,Department for Education,CSC Serious Incidents and National Safeguarding Panel,DFE-2299,Senior Executive Officer - London,46971,51973,Senior Executive Officer - CSC Serious Incidents and National Safeguarding Panel SEO-London,2.0,Other,London
1400,Department for Education,Department for Education,Higher Education Quality and Regulation,DFE-2649,Grade 6 - London,74528,82869,Manager - Higher Technical Education Grade 6-London,0.5,Other,London
1401,Department for Education,Department for Education,Local Accountability and Improvement,DFE-2383,Grade 7 - London,62336,72057,Manager - Local Accountability and Improvement Grade 7-London,7.0,Other,London
1402,Department for Education,Department for Education,Regions Group: South West,DFE-2403,HEO - London,40132,42699,Higher Executive Officer - Regions Group: South West HEO-London,3.0,Other,London
1403,Department for Education,Department for Education,School Strategy and System,DFE-2639,EA - London,30551,30551,"Executive Assistant - Admissions, School Organisation, Transport EA-London",1.0,Other,London
1404,Department for Education,Department for Education,Central Capital Unit,DFE-2228,Grade 7 - London,62336,72057,Manager - Central Capital Unit Grade 7-London,6.9,Other,London
1405,Department for Education,Department for Education,Operations and Infrastructure Group,DFE-2536,Grade 7 - National,58185,67219,Manager - Commercial School Resource Management (Protected) Grade 7-North East,1.0,Other,North East
1406,Department for Education,Department for Education,Education Estates Data Collection and Analysis,DFE-2627,EO - London,35438,35438,Executive Officer - Education Estates Data Collection and Analysis EO-London,4.0,Other,London
1407,Department for Education,Department for Education,Regions Group: London,DFE-2204,EO - London,35438,35438,Executive Officer - Regions Group: London EO-London,2.0,Other,London
1408,Department for Education,Department for Education,"Education Estates Legal, Land and Planning",DFE-2207,EA - London,30551,30551,"Executive Assistant - Education Estates Legal, Land and Planning EA-London",1.0,Other,London
1409,Department for Education,Department for Education,Enterprise Data for Insight,DFE-2392,Senior Executive Officer - London,46971,51973,Senior Executive Officer - Enterprise Data for Insight SEO-London,1.7,Other,London
1410,Department for Education,Department for Education,Technology Operations,DFE-2461,Grade 6 - London,74528,82869,Manager - Technology Operations Grade 6-London,1.0,Other,London
1411,Department for Education,Department for Education,Technology Operations,DFE-2461,HEO - London,40132,42699,Higher Executive Officer - Technology Operations HEO-London,4.0,Other,London
1412,Department for Education,Department for Education,Regions Group: South East,DFE-2439,HEO - London,40132,42699,Higher Executive Officer - Regions Group: South East HEO-London,9.39,Other,London
1413,Department for Education,Department for Education,Insight and Statistics,DFE-2400,EO - London,35438,35438,Executive Officer - Insight and Statistics EO-London,1.0,Other,London
1414,Department for Education,Department for Education,Essential Skills and Multiply,DFE-2104,Grade 6 - London,74528,82869,Manager - Essential Skills and Multiply Grade 6-London,1.9,Other,London
1415,Department for Education,Department for Education,Family Hubs and Early Years Interventions,DFE-2654,HEO - London,40132,42699,Higher Executive Officer - Family Hubs and Early Years Interventions HEO-London,0.57,Other,London
1416,Department for Education,Department for Education,Strategy and Portfolio,DFE-2277,Grade 6 - London,74528,82869,Manager - Strategy and Portfolio Grade 6-London,2.0,Other,London
1417,Department for Education,Department for Education,Regions Group: North West,DFE-2514,Grade 6 - National,70854,78241,Manager - Regions Group: North West Grade 6-North East,1.0,Other,North East
1418,Department for Education,Department for Education,Financial Operations,DFE-2200,EA - London,30551,30551,Executive Assistant - Financial Operations EA-London,1.0,Other,London
1419,Department for Education,Department for Education,Regions Group: London,DFE-2204,Senior Executive Officer - London,46971,51973,Senior Executive Officer - Regions Group: London SEO-East Midlands,1.44,Other,East Midlands
1420,Department for Education,Department for Education,Central Strategic Finance,DFE-2604,Grade 7 - National,58185,67219,Manager - Central Strategic Finance Grade 7-North West,1.0,Other,North West
1421,Department for Education,Department for Education,"Estates, Security and People",DFE-2025,Senior Executive Officer - London,46971,51973,"Senior Executive Officer - Estates, Security and People SEO-London",1.0,Other,London
1422,Department for Education,Department for Education,Teachers' Pension Scheme,DFE-2675,HEO - National,36000,38229,Higher Executive Officer - Teachers' Pension Scheme HEO-Yorkshire and The Humber,2.0,Other,Yorkshire and The Humber
1423,Department for Education,Department for Education,Infrastructure & Platforms,DFE-2281,HEO - London,40132,42699,Higher Executive Officer - Infrastructure & Platforms HEO-London,3.0,Other,London
1424,Department for Education,Department for Education,Financial Operations,DFE-2200,EO - National,31479,31479,Executive Officer - Financial Operations EO-Yorkshire and The Humber,0.55,Other,Yorkshire and The Humber
1425,Department for Education,Department for Education,"HR Organisation Design, Development & Engagement",DFE-2407,EO - London,35438,35438,"Executive Officer - HR Organisation Design, Development & Engagement EO-London",1.0,Other,London
1426,Department for Education,Department for Education,Infrastructure & Platforms,DFE-2281,Grade 6 - London,74528,82869,Manager - Infrastructure & Platforms Grade 6-London,0.6,Other,London
1427,Department for Education,Department for Education,Regions Group: London,DFE-2204,Grade 7 - London,62336,72057,Manager - Regions Group: London Grade 7 (Position Vacate:28/11/2025)-London,1.0,Other,London
1428,Department for Education,Department for Education,Technology Operations,DFE-2461,EO - National,31479,31479,Executive Officer - Technology Operations EO-Yorkshire and The Humber,9.0,Other,Yorkshire and The Humber
1429,Department for Education,Department for Education,Regions Group: East Midlands,DFE-2022,EO - National,31479,31479,Executive Officer - Regions Group: East Midlands EO-Yorkshire and The Humber,0.64,Other,Yorkshire and The Humber
1430,Department for Education,Department for Education,Family Hubs and Early Years Interventions,DFE-2654,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Family Hubs and Early Years Interventions SEO-North East,3.0,Other,North East
1431,Department for Education,Department for Education,Ministerial and Public Communications Division,DFE-2249,EA - National,27244,27244,Executive Assistant - Ministerial and Public Communications Division EA-North West,3.48,Other,North West
1432,Department for Education,Department for Education,Enterprise Data for Access and Sharing,DFE-2658,EO - London,35438,35438,Executive Officer - Enterprise Data for Access and Sharing EO-London,1.0,Other,London
1433,Department for Education,Department for Education,"HR Organisation Design, Development & Engagement",DFE-2407,HEO - London,40132,42699,"Higher Executive Officer - HR Organisation Design, Development & Engagement HEO-London",1.0,Other,London
1434,Department for Education,Department for Education,Customer Success & Shared Service Operations,DFE-2334,EO - London,35438,35438,Executive Officer - Customer Success & Shared Service Operations EO-London,1.0,Other,London
1435,Department for Education,Department for Education,Infrastructure & Platforms,DFE-2281,EO - National,31479,31479,Executive Officer - Infrastructure & Platforms EO-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
1436,Department for Education,Department for Education,SEND Strategy,DFE-2571,HEO - National,36000,38229,Higher Executive Officer - SEND Strategy HEO (Position Vacate:31/10/2025)-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
1437,Department for Education,Department for Education,Technology Operations,DFE-2461,Grade 7 - National,58185,67219,Manager - Technology Operations Grade 7-Yorkshire and The Humber,2.8,Other,Yorkshire and The Humber
1438,Department for Education,Department for Education,Cyber and Information Security (CISO),DFE-2485,HEO - National,36000,38229,Higher Executive Officer - Cyber and Information Security (CISO) HEO-North West,2.0,Other,North West
1439,Department for Education,Department for Education,HR Services & Specialist Advice,DFE-2001,EA - National,27244,27244,Executive Assistant - HR Services & Specialist Advice EA-Yorkshire and The Humber,1.75,Other,Yorkshire and The Humber
1440,Department for Education,Department for Education,Operations and Infrastructure Group,DFE-2536,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Schools Commercial Strategy SEO-North West,4.0,Other,North West
1441,Department for Education,Department for Education,Strategy and Portfolio,DFE-2277,Senior Executive Officer - London,46971,51973,Senior Executive Officer - Strategy and Portfolio SEO-London,3.0,Other,London
1442,Department for Education,Department for Education,Cyber and Information Security (CISO),DFE-2485,Grade 7 - National,58185,67219,Manager - Cyber and Information Security (CISO) Grade 7-North West,3.0,Other,North West
1443,Department for Education,Department for Education,Technology Operations,DFE-2461,HEO - National,36000,38229,Higher Executive Officer - Technology Operations HEO-North West,3.0,Other,North West
1444,Department for Education,Department for Education,Careers,DFE-2653,EA - London,30551,30551,Executive Assistant - Careers EA-London,1.0,Other,London
1445,Department for Education,Department for Education,"Capability, Investments, Analysis and Reporting",DFE-2162,HEO - National,36000,38229,"Higher Executive Officer - Capability, Investments, Analysis and Reporting HEO-Yorkshire and The Humber",1.0,Other,Yorkshire and The Humber
1446,Department for Education,Department for Education,Specialist Sector Reform,DFE-2353,Grade 7 - National,58185,67219,Manager - Specialist Sector Reform Grade 7-Yorkshire and The Humber,0.6,Other,Yorkshire and The Humber
1447,Department for Education,Department for Education,Developing Teachers and Leaders,DFE-2670,EO - London,35438,35438,Executive Officer - Developing Teachers and Leaders EO-London,2.0,Other,London
1448,Department for Education,Department for Education,"Capability, Investments, Analysis and Reporting",DFE-2162,Grade 6 - National,70854,78241,"Manager - Capability, Investments, Analysis and Reporting Grade 6-North West",2.0,Other,North West
1449,Department for Education,Department for Education,Operations and Infrastructure Group,DFE-2536,HEO - National,36000,38229,Higher Executive Officer - Commercial Specialist - Skills HEO-Yorkshire and The Humber,1.91,Other,Yorkshire and The Humber
1450,Department for Education,Department for Education,Construction Delivery South East and London,DFE-2673,Grade 6 - London,74528,82869,Manager - Construction Delivery South East and London Grade 6-London,1.0,Other,London
1451,Department for Education,Department for Education,Life Skills,DFE-2456,EO - London,35438,35438,Executive Officer - Life Skills EO-London,2.0,Other,London
1452,Department for Education,Department for Education,DfE Covid-19 Inquiry Response,DFE-2369,Grade 7 - London,62336,72057,Manager - DfE Covid-19 Inquiry Response Grade 7-London,2.0,Other,London
1453,Department for Education,Department for Education,Further Education Workforce,DFE-2218,Grade 7 - National,58185,67219,Manager - FE Workforce Grade 7-Yorkshire and The Humber,2.89,Other,Yorkshire and The Humber
1454,Department for Education,Department for Education,News and Social Media,DFE-2145,Grade 7 - National,58185,67219,Manager - News and Social Media Grade 7-Yorkshire and The Humber,2.0,Other,Yorkshire and The Humber
1455,Department for Education,Department for Education,CSC Child Protection and Safeguarding,DFE-2337,Senior Executive Officer - London,46971,51973,Senior Executive Officer - CSC Child Protection and Safeguarding SEO-London,1.24,Other,London
1456,Department for Education,Department for Education,Schools and Funding Analysis,DFE-2567,Grade 7 - National,58185,67219,Manager - Schools and Funding Analysis Grade 7-North East,1.0,Other,North East
1457,Department for Education,Department for Education,Strategy and Portfolio,DFE-2277,Grade 7 - National,58185,67219,Manager - Strategy and Portfolio Grade 7-North East,1.0,Other,North East
1458,Department for Education,Department for Education,Supporting and Rewarding Teachers and Leaders,DFE-2637,Grade 7 - National,58185,67219,Manager - Supporting and Rewarding Teachers and Leaders Grade 7-North East,1.0,Other,North East
